Denominación social,Precepto legal infringido (vigente en la fecha en que se cometió la infracción),Incumplimiento,Sanción,Medio de defensa,Vigencia,Aclaraciones,Fecha de Cobro
"Scotiabank Inverlat, S.A., Institución de Banca Múltiple, Grupo Financiero Scotiabank Inverlat","Numeral 2.7, primer párrafo, en relación con su similar 2.6, inciso b), de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $12,790.40 Fecha de imposición26-04-2018",Ninguno,,Esta conducta se considera graveNo es reincidente.,22-05-2018
"Scotiabank Inverlat, S.A., Institución de Banca Múltiple, Grupo Financiero Scotiabank Inverlat","Numerales 2.7, primer párrafo, en relación con su similar 2.6, inciso b), 2.8, primer párrafo, en relación con su similar 2.6, inciso c), y 3.4, inciso a), primer párrafo, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $13,865.60 Fecha de imposición26-04-2018",Ninguno,,Esta conducta se considera graveNo es reincidente.,22-05-2018
"Scotiabank Inverlat, S.A., Institución de Banca Múltiple, Grupo Financiero Scotiabank Inverlat","Numeral 4.1, primer párrafo, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $17,100.00 Fecha de imposición26-04-2018",Ninguno,,Esta conducta se considera graveNo es reincidente.,22-05-2018
"Scotiabank Inverlat, S.A., Institución de Banca Múltiple, Grupo Financiero Scotiabank Inverlat","Numeral 3.4, inciso a), primer párrafo, e inciso b), primer párrafo, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $18,675.20 Fecha de imposición26-04-2018",Ninguno,,"Esta conducta se considera graveEs reincidente, toda vez que se le impuso una sanción por cometer la misma conducta infractora dentro del plazo de dos años inmediatos anteriores.",22-05-2018
"Scotiabank Inverlat, S.A., Institución de Banca Múltiple, Grupo Financiero Scotiabank Inverlat","Numerales 2.8, primer párrafo, en relación con su similar 2.6, inciso c), y 3.4, inciso a), primer párrafo, e inciso b), primer párrafo, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $22,845.60 Fecha de imposición26-04-2018",Ninguno,,"Esta conducta se considera graveEs reincidente, toda vez que se le impuso una sanción por cometer la misma conducta infractora dentro del plazo de dos años inmediatos anteriores.",22-05-2018
,,,"$129,634.40",,,,
"Banca Afirme, S.A., Institución de Banca Múltiple, Afirme Grupo Financiero","Artículo 76, primer y segundo párrafos, de la Circular 3/2012","Falta a la regulación para la Transferencia de salario, pensiones y otras prestaciones de carácter laboral.",Descripción  Amonestación  Fecha de imposición24-09-2019,Ninguno,17-10-2019,Esta conducta no se considera graveNo es reincidente.,
"Banca Mifel, S.A., Institución de Banca Múltiple, Grupo Financiero Mifel","Artículo 67, primer párrafo, de la Circular 3/2012.",Falta a la Regulación para la domiciliación en cuentas de Depósito bancario de dinero.,Descripción  Amonestación  Fecha de imposición07-10-2019,Ninguno,30-10-2019,Esta conducta no se considera graveNo es reincidente.,
"Banco Forjadores, S.A, Institución de Banca Múltiple","Artículo 2.3, primer párrafo, de la Circular 14/2007",Falta a las disposiciones de carácter general en materia de tasas de interés.,Descripción  Amonestación  Fecha de imposición11-01-2019,Ninguno,06-02-2019,Esta conducta no se considera graveNo es reincidente.,
"Banca Afirme, S.A., Institución de Banca Múltiple, Afirme Grupo Financiero","Artículo 68, primer párrafo, de la Circular 3/2012",Falta a la Regulación para la domiciliación en cuentas de Depósito bancario de dinero.,"Monto $30,166.40 Fecha de imposición12-09-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,08-10-2019
"Banca Afirme, S.A., Institución de Banca Múltiple, Afirme Grupo Financiero","Artículo 68, primer párrafo, de la Circular 3/2012",Falta a la Regulación para la domiciliación en cuentas de Depósito bancario de dinero.,"Monto $87,580.00 Fecha de imposición12-09-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,08-10-2019
,,,"$117,746.40",,,,
"Banco Ahorro Famsa, S.A., Institución de Banca Múltiple",Numeral 3.12. de la Circular 34/2010.,Falta a las Reglas de Tarjetas de Crédito.,"Monto $12,846.40 Fecha de imposición06-05-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,30-05-2019
"Banco Ahorro Famsa, S.A., Institución de Banca Múltiple",Numeral 3.12. de la Circular 34/2010.,Falta a las Reglas de Tarjetas de Crédito.,"Monto $21,737.60 Fecha de imposición06-05-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,30-05-2019
"Banco Ahorro Famsa, S.A., Institución de Banca Múltiple","Numerales 4.2, en relación con su similar 4.1., y 4.1, segundo párrafo, respectivamente, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $26,268.80 Fecha de imposición06-05-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,30-05-2019
"Banco Ahorro Famsa, S.A., Institución de Banca Múltiple",Numeral 3.12. de la Circular 34/2010.,Falta a las Reglas de Tarjetas de Crédito.,"Monto $30,510.40 Fecha de imposición06-05-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,30-05-2019
"Banco Ahorro Famsa, S.A., Institución de Banca Múltiple","Numeral 3.4, inciso b), primer párrafo, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $39,091.20 Fecha de imposición06-05-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,30-05-2019
"Banco Ahorro Famsa, S.A., Institución de Banca Múltiple","Numeral 2.8, primer párrafo, en relación con el numeral 2.6, inciso c), de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $57,208.00 Fecha de imposición06-05-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,30-05-2019
,,,"$187,662.40",,,,
"Banco Inmobiliario Mexicano, S.A., Institución de Banca Múltiple","Artículo 6, primer y tercer párrafos, de la LTOSF, y al numeral 2.1.2, primer párrafo, de la Circular 36/2010",Falta a las Disposiciones de carácter general en materia de registro de Comisiones.,"Monto $51,808.00 Fecha de imposición09-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,28-01-2019
"Banco Inmobiliario Mexicano, S.A., Institución de Banca Múltiple","Artículo 6, primer y tercer párrafos, de la LTOSF, y al numeral 2.1.2, primer párrafo, de la Circular 36/2010",Falta a las Disposiciones de carácter general en materia de registro de Comisiones.,"Monto $53,832.00 Fecha de imposición09-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,28-01-2019
,,,"$105,640.00",,,,
"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer","Numeral 3, inciso e), de la Circular 22/2010",Falta a las disposiciones de carácter general que establecen prohibiciones y límites al cobro de comisiones.,"Monto $215,328.00 Fecha de imposición07-03-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,27-03-2019
,,,"$215,328.00",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Tarjetas Banamex, S.A. de C.V., Sociedad Financiera de Objeto Múltiple, Entidad Regulada","Numeral 5.3, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,Descripción  Amonestación  Fecha de imposición29-03-2017,Ninguno,25-04-2017,Esta conducta no se considera graveNo es reincidente.,
,,,,,,,
"Santander Consumo, S.A. de C.V., Sociedad Financiera de Objeto Múltiple, Entidad Regulada, Grupo Financiero Santander México","Numerales 3.8, inciso d), y 5.1, segundo párrafo, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,Descripción  Amonestación  Fecha de imposición05-04-2018,Ninguno,30-04-2018,Esta conducta no se considera graveNo es reincidente.,
"Santander Consumo, S.A. de C.V., Sociedad Financiera de Objeto Múltiple, Entidad Regulada, Grupo Financiero Santander México","Numeral 2.10, segundo párrafo, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $29,768.00 Fecha de imposición05-04-2018",Ninguno,,Esta conducta se considera graveNo es reincidente.,27-04-2018
,,,"$29,768.00",,,,
"SOFOM INBURSA, S.A. de C.V., SOFOM, E.R., Grupo Financiero Inbursa","Numeral 5.1, segundo párrafo, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,Descripción  Amonestación  Fecha de imposición16-01-2019,Ninguno,11-02-2019,Esta conducta no se considera graveNo es reincidente.,
"SOFOM INBURSA, S.A. de C.V., SOFOM, E.R., Grupo Financiero Inbursa","Numeral 2.10, segundo párrafo, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $57,813.60 Fecha de imposición16-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,28-01-2019
"SOFOM INBURSA, S.A. de C.V., SOFOM, E.R., Grupo Financiero Inbursa","Numeral 2.10, segundo párrafo, de la Circular 34/2010.",Falta a las Reglas de Tarjetas de Crédito.,"Monto $43,300.00 Fecha de imposición16-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,28-01-2019
,,,"$101,113.60",,,,
,,,,,,,
,,,,,,,
"A Crecer EUM, S.A. De C.V., Sociedad Financiera de Objeto Múltiple, Entidad no regulada","Numeral 7, primer párrafo, incisos ii) e iii), de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición20-10-2016,Ninguno,15-11-2016,Esta conducta no se considera graveNo es reincidente.,
"Alianza Financiera Social, S.A. de C.V., Sociedad Financiera de Objeto Múltiple, Entidad No Regulada","Numeral 5.3, en relación con sus similares 2, 4.1 y 4.2, segundo párrafo, inciso c), de la Circula 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición25-11-2016,Ninguno,21-12-2016,Esta conducta no se considera graveNo es reincidente.,
"Apoyándote, S.A. de C.V., Sociedad Financiera de Objeto Múltiple, E.N.R.","Infringe el numeral 7, primer párrafo, incisos ii) y iii), de la Circular 21/2009","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición09-11-2016,Ninguno,05-12-2016,Esta conducta no se considera graveNo es reincidente.,
"Consultores de Servicios Varios,S.A. de C.V., Sociedad Financiera de Objeto Múltiple, E.N.R.","Numeral 7, primer párrafo, incisos ii) y iii), de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición12-04-2016,Ninguno,05-05-2016,Esta conducta no se considera graveNo es reincidente.,
"Credipresto, S.A.P.I. DE C.V., Sociedad Financiera de Objeto Múltiple Entidad No Regulada","Numerales 5.3, en relación con sus similares 2, 4.1, y 5.1, inciso f), y, 7, primer párrafo, inciso ii), de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición19-10-2016,Ninguno,14-11-2016,Esta conducta no se considera graveNo es reincidente.,
"Servicios Financieros de Desarrollo Comunitario, S.A. de C.V., Sociedad Financiera de Objeto Múltiple, E.N.R.","Numeral 7, primer párrafo, inciso ii), de la Circula 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición18-11-2016,Ninguno,15-12-2016,Esta conducta no se considera graveNo es reincidente.,
"A Crecer EUM, S.A. De C.V., Sociedad Financiera de Objeto Múltiple, Entidad no regulada","Numeral 5.3, de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).","Monto $239,280.00 Fecha de imposición20-10-2016",Ninguno,,Esta conducta no se considera graveNo es reincidente.,02-12-2016
,,,"$239,280.00",,,,
"GDM3 Capital, S.A. de C.V., Sociedad Financiera de Objeto Múltiple, E.N.R.","Numeral 7, primer párrafo, incisos ii) y iii), de la Circular 21/2009","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).",Descripción  Amonestación  Fecha de imposición21-02-2017,Ninguno,16-03-2017,Esta conducta no se considera graveNo es reincidente.,
"GDM3 Capital, S.A. de C.V., Sociedad Financiera de Objeto Múltiple, E.N.R.","Numeral 5.3, en relación con sus similares 2 y 4.1 de la Circular 21/2009.","Falta a las disposiciones de carácter general que establecen la metodología de cálculo, fórmula, componentes y supuestos del Costo Anual Total (CAT).","Monto $199,456.00 Fecha de imposición21-02-2017",Ninguno,,Esta conducta se considera graveNo es reincidente.,09-03-2017
,,,"$199,456.00",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Banco Azteca, S.A., Institución de Banca Múltiple","Numerales II.VII.2, quinto párrafo, II.VII.2.1, inciso a), II.VIII.1.1, II.VIII.1.1.1, II.VIII.1.1.2, II.VIII.1.1.3, II.VIII.1.1.4, II.VIII.1.1.5, II.VIII.1.1.6, II.VIII.1.2, II.VIII.1.2.2, II.VIII.1.2.2.1, II.VIII.1.2.2.2, II.VIII.1.2.2.3, y II.VIII.1.2.2.4, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $132,174.40 Fecha de imposición20-12-2016",Ninguno,,Esta conducta se considera graveNo es reincidente.,23-12-2016
,,,"$132,174.40",,,,
"Banco del Bajío, S.A., Institución de Banca Múltiple","Numeral II.VII.2, segundo párrafo, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $200,926.40 Fecha de imposición04-05-2016",Ninguno,,"Esta conducta se considera graveEs reincidente, toda vez que se le impuso una sanción por cometer la misma conducta infractora dentro del plazo de dos años inmediatos anteriores.",27-05-2016
,,,"$200,926.40",,,,
"Banco Inbursa, S.A., Institución de Banca Múltiple, Grupo Financiero Inbursa","Numeral II.VII.2, tercer párrafo, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $113,817.60 Fecha de imposición10-02-2016",Ninguno,,Esta conducta se considera graveNo es reincidente.,25-02-2016
"Banco Inbursa, S.A., Institución de Banca Múltiple, Grupo Financiero Inbursa","Numeral II.VIII.2.4 en relación con su similar II.VIII.2.1, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $117,688.00 Fecha de imposición10-02-2016",Ninguno,,Esta conducta se considera graveNo es reincidente.,25-02-2016
"Banco Inbursa, S.A., Institución de Banca Múltiple, Grupo Financiero Inbursa","Numeral II.VII.2, segundo párrafo, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $465,270.40 Fecha de imposición10-02-2016",Ninguno,,"Esta conducta se considera graveEs reincidente, toda vez que se le impuso una sanción por cometer la misma conducta infractora dentro del plazo de dos años inmediatos anteriores.",25-02-2016
"Banco Inbursa, S.A., Institución de Banca Múltiple, Grupo Financiero Inbursa","Numeral II.VII.2, segundo párrafo, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $358,478.40 Fecha de imposición10-02-2016",Ninguno,,"Esta conducta se considera graveEs reincidente, toda vez que se le impuso una sanción por cometer la misma conducta infractora dentro del plazo de dos años inmediatos anteriores.",25-02-2016
,,,"$1,055,254.40",,,,
"Banco Mercantil del Norte, S.A., Institución de Banca Múltiple, Grupo Financiero Banorte","Numeral II.VIII.2.4, en relación con su similar II.VIII.2.1, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $118,430.40 Fecha de imposición15-03-2016",Ninguno,,Esta conducta se considera graveNo es reincidente.,22-03-2016
,,,"$118,430.40",,,,
"Banco Regional de Monterrey, S.A., Institución de Banca Múltiple, Banregio Grupo Financiero","Numeral II.VII.2, segundo párrafo, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $194,244.80 Fecha de imposición18-02-2016",Ninguno,,"Esta conducta se considera graveEs reincidente, toda vez que se le impuso una sanción por cometer la misma conducta infractora dentro del plazo de dos años inmediatos anteriores.",10-03-2016
,,,"$194,244.80",,,,
"Banco Ve por Más, S.A., Institución de Banca Múltiple, Grupo Financiero Ve por Más","Numeral II.VII.2, segundo párrafo, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $191,649.60 Fecha de imposición14-09-2016",Ninguno,,Esta conducta se considera graveNo es reincidente.,07-10-2016
,,,"$191,649.60",,,,
"BanCoppel, S.A., Institución de Banca Múltiple","Numerales II.VII.2, primer y tercer párrafos, II.VII.2.1, inciso a), II.VIII.1.1.1, II.VIII.1.1.4, y II.VIII.1.1.6, II.VIII.1.2.2.1, primer párrafo, II.VIII.1.2.2.2, II.VIII.1.2.2.3, y II.VIII.1.2.2.4, en relación con el II.VIII.1.1.4 y II.VIII.1.1.5, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $109,700.80 Fecha de imposición30-03-2016",Ninguno,,Esta conducta se considera graveNo es reincidente.,21-04-2016
"BanCoppel, S.A., Institución de Banca Múltiple","Numeral II.VIII.2.4, en relación con su similar II.VIII.2.1, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $118,430.40 Fecha de imposición14-09-2016",Ninguno,,Esta conducta se considera graveNo es reincidente.,30-09-2016
"BanCoppel, S.A., Institución de Banca Múltiple","Numeral II.VII.2, segundo párrafo, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $215,928.00 Fecha de imposición30-03-2016",Ninguno,,"Esta conducta se considera graveEs reincidente, toda vez que se le impuso una sanción por cometer la misma conducta infractora dentro del plazo de dos años inmediatos anteriores.",21-04-2016
"BanCoppel, S.A., Institución de Banca Múltiple","Numeral II.VII.2, segundo párrafo, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $193,024.00 Fecha de imposición14-09-2016",Ninguno,,"Esta conducta se considera graveEs reincidente, toda vez que se le impuso una sanción por cometer la misma conducta infractora dentro del plazo de dos años inmediatos anteriores.",30-09-2016
,,,"$637,083.20",,,,
,,,,,,,
"Banca Afirme, S.A., Institución de Banca Múltiple, Afirme Grupo Financiero","Numerales II.VII.2, segundo párrafo, II.VIII.1.1.1, II.VIII.1.1.4, II.VIII.1.1.6, II.VIII.1.2.2.1, primer párrafo, II.VIII.1.2.2.2, primer párrafo, II.VIII.1.2.2.3 y II.VIII.1.2.2.4, en relación con su similares II.VIII.1.1.4 y II.VIII.1.1.5, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $160,174.00 Fecha de imposición29-12-2016",Ninguno,,Esta conducta se considera graveNo es reincidente.,01-02-2017
,,,"$160,174.00",,,,
"Banco Ahorro Famsa, S.A., Institución de Banca Múltiple","Numeral II.VII.2, segundo párrafo, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $122,281.60 Fecha de imposición03-01-2017",Ninguno,,Esta conducta se considera graveNo es reincidente.,24-01-2017
,,,"$122,281.60",,,,
"Banco Multiva, S.A., Institución de Banca Múltiple, Grupo Financiero Multiva","Numeral II.VII.2, segundo párrafo, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $134,317.60 Fecha de imposición03-01-2017",Ninguno,,Esta conducta se considera graveNo es reincidente.,24-01-2017
,,,"$134,317.60",,,,
"Banco Nacional de México, S.A., Integrante del Grupo Financiero Banamex","Numeral II.VII.2, segundo párrafo, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $290,593.60 Fecha de imposición04-01-2017",Ninguno,,Esta conducta se considera graveNo es reincidente.,30-01-2017
"Banco Nacional de México, S.A., Integrante del Grupo Financiero Banamex","Numeral II.VII.2, segundo párrafo, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $452,969.60 Fecha de imposición04-01-2017",Ninguno,,"Esta conducta se considera graveEs reincidente, toda vez que se le impuso una sanción por cometer la misma conducta infractora dentro del plazo de dos años inmediatos anteriores.",27-01-2017
,,,"$743,563.20",,,,
"Banco Regional de Monterrey, S.A., Institución de Banca Múltiple, Banregio Grupo Financiero","Numeral II.VIII.2.4, en relación a su similar II.VIII.2.1, de la Circular de Operaciones de Caja.",Falta a la regulación de operaciones de caja.,"Monto $113,977.60 Fecha de imposición18-01-2017",Ninguno,,Esta conducta se considera graveNo es reincidente.,08-02-2017
,,,"$113,977.60",,,,
"Scotiabank Inverlat, S.A., Institución de Banca Múltiple, Grupo Financiero Scotiabank Inverlat","Numeral II.VII.2, segundo y tercer párrafos, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $157,947.20 Fecha de imposición30-12-2016",Ninguno,,Esta conducta se considera graveNo es reincidente.,24-01-2017
,,,"$157,947.20",,,,
,,,,,,,
,,,,,,,
,,,,,,,
"ABC Capital, S.A., Institución de Banca Múltiple","Numerales II.I.1.6 y II.II.7, segundo párrafo, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $593,630.40 Fecha de imposición15-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,08-02-2019
,,,"$593,630.40",,,,
"Banca Afirme, S.A., Institución de Banca Múltiple, Afirme Grupo Financiero","Numeral II.I.1.6, en relación con su similar II.II.7, segundo párrafo, y la cláusula 4 del Anexo 28 de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $334,712.00 Fecha de imposición14-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,30-01-2019
,,,"$334,712.00",,,,
"Banca Mifel, S.A., Institución de Banca Múltiple, Grupo Financiero Mifel","Numerales II.I.1 y II.I.1.2, y el Anexo 27 de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $218,575.20 Fecha de imposición21-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,13-02-2019
"Banca Mifel, S.A., Institución de Banca Múltiple, Grupo Financiero Mifel","Numerales II.VIII.2.4 en relación con su similar II.VIII.2.1, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $113,977.60 Fecha de imposición07-10-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,17-10-2019
"Banca Mifel, S.A., Institución de Banca Múltiple, Grupo Financiero Mifel","Numerales II.VIII.2.4 en relación con su similar II.VIII.2.1, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $118,430.40 Fecha de imposición07-10-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,17-10-2019
,,,"$450,983.20",,,,
"Banco Actinver, S.A., Institución de Banca Múltiple, Grupo Financiero Actinver","Numerales II.I.1, II.I.1.2, y el Anexo 27, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $167,744.80 Fecha de imposición18-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,08-02-2019
,,,"$167,744.80",,,,
"Banco Ahorro Famsa, S.A., Institución de Banca Múltiple","Numerales II.I.1, II.I.1.2, y el Anexo 27 de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $278,667.20 Fecha de imposición22-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,13-02-2019
"Banco Ahorro Famsa, S.A., Institución de Banca Múltiple","Numeral II.I.1.6, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $328,780.00 Fecha de imposición22-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,13-02-2019
,,,"$607,447.20",,,,
"Banco Azteca, S.A., Institución de Banca Múltiple","Numerales II.I.1, II.I.1.1, inciso a), II.I.1.2, II.I.1.3, y II.VII.1, primer párrafo, el Anexo 3 y el Anexo 27 de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $392,371.20 Fecha de imposición22-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,08-02-2019
"Banco Azteca, S.A., Institución de Banca Múltiple","Numerales II.VII.1, primer párrafo, II.VII.2.1, inciso a), de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $118,430.40 Fecha de imposición30-09-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,11-10-2019
"Banco Azteca, S.A., Institución de Banca Múltiple","Numeral II.VII.2, segundo párrafo, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $142,062.40 Fecha de imposición30-09-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,11-10-2019
"Banco Azteca, S.A., Institución de Banca Múltiple","Numeral II.VII.2, segundo párrafo, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $218,484.00 Fecha de imposición30-09-2019",Ninguno,,"Esta conducta se considera graveEs reincidente, toda vez que se le impuso una sanción por cometer la misma conducta infractora dentro del plazo de dos años inmediatos anteriores.",11-10-2019
,,,"$871,348.00",,,,
"Banco del Bajío, S.A., Institución de Banca Múltiple","Numerales II.I.1, II.I.1.2, y el Anexo 27, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $175,374.40 Fecha de imposición16-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,13-02-2019
,,,"$175,374.40",,,,
"Banco Inbursa, S.A., Institución de Banca Múltiple, Grupo Financiero Inbursa","Numerales II.I.1.6 y II.II.7, segundo párrafo, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $251,901.60 Fecha de imposición16-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,11-02-2019
"Banco Inbursa, S.A., Institución de Banca Múltiple, Grupo Financiero Inbursa","Numerales II.I.1.3 y II.VII.1, primer párrafo, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $300,495.20 Fecha de imposición16-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,11-02-2019
"Banco Inbursa, S.A., Institución de Banca Múltiple, Grupo Financiero Inbursa","Numeral II.II.7, segundo párrafo, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $674,854.00 Fecha de imposición10-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,15-02-2019
,,,"$1,227,250.80",,,,
"Banco Mercantil del Norte, S.A., Institución de Banca Múltiple, Grupo Financiero Banorte","Numerales II.I.1, II.I.1.1, inciso a), II.I.1.2, los Anexos 3 y 27, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $474,373.60 Fecha de imposición08-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,21-01-2019
,,,"$474,373.60",,,,
"Banco Nacional de México, S.A., Integrante del Grupo Financiero Banamex","Numerales II.I.1 y II.I.1.1, inciso a), y II.I.1.2, y el Anexo 27, de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $411,336.00 Fecha de imposición17-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,01-02-2019
,,,"$411,336.00",,,,
"Banco Regional de Monterrey, S.A., Institución de Banca Múltiple, Banregio Grupo Financiero","Numerales II.I.1, II.I.1.2, y el Anexo 27 de la Circular de Operaciones de Caja",Falta a la regulación de operaciones de caja.,"Monto $186,074.40 Fecha de imposición30-01-2019",Ninguno,,Esta conducta se considera graveNo es reincidente.,21-02-2019
,,,"$186,074.40",,,,
